1D	photolysis rate of ozone to 1D oxygen atom
a	mass concentration of chlorophyll a in sea water
a	mass fraction of chlorophyll a in sea water
abiotic	mole concentration of carbonate abiotic analogue expressed as carbon in sea water
abiotic	mole concentration of dissolved inorganic carbon abiotic analogue in sea water
abiotic	sea water ph abiotic analogue reported on total scale
abiotic	surface carbon dioxide abiotic analogue partial pressure difference between sea water and air
abiotic	surface downward mass flux of carbon dioxide abiotic analogue expressed as carbon
abiotic	surface downward mass flux of carbon13 dioxide abiotic analogue expressed as carbon13
abiotic	surface downward mass flux of carbon14 dioxide abiotic analogue expressed as carbon
abiotic	surface partial pressure of carbon dioxide abiotic analogue in sea water
above	flood water duration above threshold
above	geoid height above reference ellipsoid
above	height above geopotential datum
above	height above geopotential datum at top of atmosphere model
above	height above mean sea level
above	height above reference ellipsoid
above	height above sea floor
above	histogram of backscattering ratio over height above reference ellipsoid
above	histogram of equivalent reflectivity factor over height above reference ellipsoid
above	number of days with air temperature above threshold
above	number of days with lwe thickness of precipitation amount above threshold
above	number of days with wind speed above threshold
above	ocean rigid lid pressure expressed as sea surface height above geoid
above	sea surface height above geoid
above	sea surface height above geopotential datum
above	sea surface height above mean sea level
above	sea surface height above reference ellipsoid
above	spell length of days with air temperature above threshold
above	spell length of days with lwe thickness of precipitation amount above threshold
above	square of sea surface height above geoid
above	surface height above geopotential datum
above	tendency of sea surface height above mean sea level
above	time when flood water rises above threshold
above	water surface height above reference datum
absolute	atmosphere absolute vorticity
absolute	change over time in sea water absolute salinity
absolute	sea water absolute salinity
absorbed	fraction of surface downwelling photosynthetic radiative flux absorbed by vegetation
absorption	atmosphere absorption optical thickness due to ambient aerosol particles
absorption	atmosphere absorption optical thickness due to black carbon ambient aerosol
absorption	atmosphere absorption optical thickness due to dust ambient aerosol particles
absorption	atmosphere absorption optical thickness due to particulate organic matter ambient aerosol particles
absorption	atmosphere absorption optical thickness due to sea salt ambient aerosol particles
absorption	atmosphere absorption optical thickness due to sulfate ambient aerosol particles
absorption	atmosphere net rate of absorption of longwave energy
absorption	atmosphere net rate of absorption of shortwave energy
absorption	net rate of absorption of longwave energy in atmosphere layer
absorption	net rate of absorption of shortwave energy in atmosphere layer
absorption	net rate of absorption of shortwave energy in ocean layer
absorption	volume absorption coefficient in air due to dried aerosol particles
absorption	volume absorption coefficient of radiative flux in sea water
absorption	volume absorption coefficient of radiative flux in sea water due to dissolved organic matter
accretion	tendency of mass fraction of stratiform cloud ice in air due to accretion to snow
accretion	tendency of mass fraction of stratiform cloud liquid water in air due to accretion to rain
accretion	tendency of mass fraction of stratiform cloud liquid water in air due to accretion to snow
accumulated	net primary productivity of biomass expressed as carbon accumulated in leaves
accumulated	net primary productivity of biomass expressed as carbon accumulated in roots
accumulated	net primary productivity of biomass expressed as carbon accumulated in wood
accumulation	tendency of sea ice amount due to congelation ice accumulation
accumulation	tendency of sea ice amount due to frazil ice accumulation in leads
acetaldehyde	mole fraction of acetaldehyde in air
acetaldehyde	tendency of atmosphere mass content of acetaldehyde due to dry deposition
acetaldehyde	tendency of atmosphere mass content of acetaldehyde due to emission
acetaldehyde	tendency of atmosphere mass content of acetaldehyde due to wet deposition
acetic	atmosphere mass content of acetic acid
acetic	atmosphere moles of acetic acid
acetic	mass concentration of acetic acid in air
acetic	mass fraction of acetic acid in air
acetic	mole concentration of acetic acid in air
acetic	mole fraction of acetic acid in air
acetic	tendency of atmosphere mass content of acetic acid due to dry deposition
acetic	tendency of atmosphere mass content of acetic acid due to wet deposition
acetic	tendency of atmosphere moles of acetic acid
aceto	atmosphere mass content of aceto nitrile
aceto	atmosphere moles of aceto nitrile
aceto	mass concentration of aceto nitrile in air
aceto	mass fraction of aceto nitrile in air
aceto	mole concentration of aceto nitrile in air
aceto	mole fraction of aceto nitrile in air
aceto	tendency of atmosphere mass content of aceto nitrile due to dry deposition
aceto	tendency of atmosphere moles of aceto nitrile
acetone	mole fraction of acetone in air
acetone	tendency of atmosphere mass content of acetone due to emission
acid	atmosphere mass content of acetic acid
acid	atmosphere mass content of formic acid
acid	atmosphere mass content of hypobromous acid
acid	atmosphere mass content of hypochlorous acid
acid	atmosphere mass content of nitric acid
acid	atmosphere mass content of nitric acid trihydrate ambient aerosol particles
acid	atmosphere mass content of nitrous acid
acid	atmosphere mass content of peroxynitric acid
acid	atmosphere moles of acetic acid
acid	atmosphere moles of formic acid
acid	atmosphere moles of hypobromous acid
acid	atmosphere moles of hypochlorous acid
acid	atmosphere moles of nitric acid
acid	atmosphere moles of nitric acid trihydrate ambient aerosol particles
acid	atmosphere moles of nitrous acid
acid	atmosphere moles of peroxynitric acid
acid	mass concentration of acetic acid in air
acid	mass concentration of formic acid in air
acid	mass concentration of hypobromous acid in air
acid	mass concentration of hypochlorous acid in air
acid	mass concentration of nitric acid in air
acid	mass concentration of nitric acid trihydrate ambient aerosol particles in air
acid	mass concentration of nitrous acid in air
acid	mass concentration of peroxynitric acid in air
acid	mass fraction of acetic acid in air
acid	mass fraction of formic acid in air
acid	mass fraction of hypobromous acid in air
acid	mass fraction of hypochlorous acid in air
acid	mass fraction of methanesulfonic acid dry aerosol particles in air
acid	mass fraction of nitric acid in air
acid	mass fraction of nitric acid trihydrate ambient aerosol particles in air
acid	mass fraction of nitrous acid in air
acid	mass fraction of peroxynitric acid in air
acid	mass fraction of sulfuric acid in air
acid	mole concentration of acetic acid in air
acid	mole concentration of formic acid in air
acid	mole concentration of hypobromous acid in air
acid	mole concentration of hypochlorous acid in air
acid	mole concentration of nitric acid in air
acid	mole concentration of nitric acid trihydrate ambient aerosol particles in air
acid	mole concentration of nitrous acid in air
acid	mole concentration of peroxynitric acid in air
acid	mole fraction of acetic acid in air
acid	mole fraction of formic acid in air
acid	mole fraction of hypobromous acid in air
acid	mole fraction of hypochlorous acid in air
acid	mole fraction of nitric acid in air
acid	mole fraction of nitric acid trihydrate ambient aerosol particles in air
acid	mole fraction of nitrous acid in air
acid	mole fraction of peroxynitric acid in air
acid	tendency of atmosphere mass content of acetic acid due to dry deposition
acid	tendency of atmosphere mass content of acetic acid due to wet deposition
acid	tendency of atmosphere mass content of formic acid due to dry deposition
acid	tendency of atmosphere mass content of formic acid due to wet deposition
acid	tendency of atmosphere mass content of methanesulfonic acid dry aerosol particles due to net chemical production
acid	tendency of atmosphere mass content of methanesulfonic acid dry aerosol particles due to wet deposition
acid	tendency of atmosphere mass content of methanesulfonic acid due to dry deposition
acid	tendency of atmosphere mass content of nitric acid due to dry deposition
acid	tendency of atmosphere mass content of nitric acid due to wet deposition
acid	tendency of atmosphere mass content of nitrous acid due to dry deposition
acid	tendency of atmosphere mass content of nitrous acid due to emission
acid	tendency of atmosphere mass content of nitrous acid due to wet deposition
acid	tendency of atmosphere mass content of peroxynitric acid due to dry deposition
acid	tendency of atmosphere moles of acetic acid
acid	tendency of atmosphere moles of formic acid
acid	tendency of atmosphere moles of hypobromous acid
acid	tendency of atmosphere moles of hypochlorous acid
acid	tendency of atmosphere moles of nitric acid
acid	tendency of atmosphere moles of nitric acid trihydrate ambient aerosol particles
acid	tendency of atmosphere moles of nitrous acid
acid	tendency of atmosphere moles of peroxynitric acid
acids	tendency of atmosphere mass content of organic acids due to emission from agricultural production
acids	tendency of atmosphere mass content of organic acids due to emission from agricultural waste burning
acids	tendency of atmosphere mass content of organic acids due to emission from energy production and distribution
acids	tendency of atmosphere mass content of organic acids due to emission from forest fires
acids	tendency of atmosphere mass content of organic acids due to emission from industrial processes and combustion
acids	tendency of atmosphere mass content of organic acids due to emission from residential and commercial combustion
acids	tendency of atmosphere mass content of organic acids due to emission from savanna and grassland fires
acids	tendency of atmosphere mass content of organic acids due to emission from waste treatment and disposal
acoustic	acoustic signal roundtrip travel time in sea water
across	eastward atmosphere dry static energy transport across unit distance
across	eastward atmosphere water transport across unit distance
across	eastward atmosphere water vapor transport across unit distance
across	eastward water vapor transport across unit distance in atmosphere layer
across	northward atmosphere dry static energy transport across unit distance
across	northward atmosphere water transport across unit distance
